Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Haiti,HTI,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.42,..,..,..,..,1.5,..,..,..,..,1.77,..,..,..,..,..,..,..,..,..,..
Honduras,HND,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,2.08,..,..,..,..,2.06,..,..,..,..,2.02,..,..,..,..,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,2.71,..,..,..,..,5.01,..,..,..,..,3.99,..,..,..,..,..,..,..,..,..,..
Hungary,HUN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,10.62,..,..,..,..,10.79,..,..,..,..,11.3,..,..,..,..,..,..,..,..,..,..
Iceland,ISL,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,6.25,..,..,..,..,7.25,..,..,..,..,7.26,..,..,..,..,..,..,..,..,..,..
India,IND,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.69,..,..,..,..,1.78,..,..,..,..,2.07,..,..,..,..,..,..,..,..,..,..
Indonesia,IDN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.8,..,..,..,..,2.15,..,..,..,..,2.57,..,..,..,..,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,2.63,..,..,..,..,1.93,..,..,..,..,4.37,..,..,..,..,..,..,..,..,..,..
Iraq,IRQ,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.39,..,..,..,..,0.52,..,..,..,..,0.85,..,..,..,..,..,..,..,..,..,..
Ireland,IRL,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,6.65,..,..,..,..,8.12,..,..,..,..,7.91,..,..,..,..,..,..,..,..,..,..
Israel,ISR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,9.6,..,..,..,..,9.85,..,..,..,..,9.82,..,..,..,..,..,..,..,..,..,..
Italy,ITA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,4.96,..,..,..,..,4.93,..,..,..,..,4.69,..,..,..,..,..,..,..,..,..,..
Jamaica,JAM,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,5.19,..,..,..,..,5.55,..,..,..,..,5.91,..,..,..,..,..,..,..,..,..,..
Japan,JPN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,7.48,..,..,..,..,8,..,..,..,..,8.44,..,..,..,..,..,..,..,..,..,..
Jordan,JOR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,2.26,..,..,..,..,2.97,..,..,..,..,3.74,..,..,..,..,..,..,..,..,..,..
Kazakhstan,KAZ,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,6.31,..,..,..,..,7.05,..,..,..,..,8.04,..,..,..,..,..,..,..,..,..,..
Kenya,KEN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.34,..,..,..,..,1.6,..,..,..,..,1.7,..,..,..,..,..,..,..,..,..,..
Kiribati,KIR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,2.55,..,..,..,..,3.34,..,..,..,..,4.96,..,..,..,..,..,..,..,..,..,..
Kuwait,KWT,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,2.17,..,..,..,..,3.26,..,..,..,..,3.7,..,..,..,..,..,..,..,..,..,..
